wednes_date	00	10	20	30	40	50	60	70	80	AgeSum	CumAgeSum
2020-02-26	2	1	15	15	7	8	4	3	1	56	56
2020-03-04	4	9	42	59	75	84	47	33	24	377	433
2020-03-11	13	45	266	356	389	457	280	259	197	2262	2695
2020-03-18	26	195	749	920	1042	1442	904	664	598	6540	9235
2020-03-25	16	172	783	921	1146	1560	1017	790	936	7341	16576
2020-04-01	23	157	742	736	953	1267	673	541	926	6018	22594
2020-04-08	17	102	507	453	546	648	367	326	631	3597	26191
2020-04-15	9	67	287	273	256	295	144	125	380	1836	28027
2020-04-22	8	45	201	172	165	211	99	76	190	1167	29194
2020-04-29	19	25	123	107	104	120	63	30	108	699	29893
2020-05-06	13	24	62	64	64	66	33	25	50	401	30294
2020-05-13	8	24	28	31	33	44	26	16	21	231	30525
2020-05-20	6	10	32	15	23	26	15	11	16	154	30679
2020-05-27	7	15	25	19	22	23	5	5	5	126	30805
2020-06-03	5	16	19	14	9	11	8	9	7	98	30903
2020-06-10	14	11	25	26	20	23	17	3	1	140	31043
2020-06-17	7	10	49	32	19	23	17	8	6	171	31214
2020-06-24	9	28	104	70	62	50	20	8	6	357	31571
2020-07-01	8	57	209	137	103	85	62	12	11	684	32255
2020-07-08	14	46	141	131	95	94	80	24	10	635	32890
2020-07-15	20	47	159	155	115	102	69	28	20	715	33605
2020-07-22	14	70	229	164	114	109	73	37	16	826	34431
2020-07-29	19	102	340	206	157	172	105	31	23	1155	35586
2020-08-05	19	137	310	222	143	158	69	29	13	1100	36686
2020-08-12	29	182	563	308	192	165	90	30	15	1574	38260
2020-08-19	30	221	675	375	235	164	101	27	26	1854	40114
2020-08-26	38	260	669	416	294	226	104	41	44	2092	42206
2020-09-02	42	226	729	512	356	322	135	58	77	2457	44663
2020-09-09	19	312	757	530	470	368	201	102	101	2860	47523
2020-09-16	15	341	697	561	489	413	223	106	61	2906	50429
2020-09-23	15	183	487	446	359	385	164	104	79	2222	52651
2020-09-30	27	256	787	731	530	531	299	160	140	3461	56112
2020-10-07	60	723	2061	1618	1391	1391	753	438	318	8753	64865
2020-10-14	125	1536	3963	3572	3212	3179	1805	1175	912	19479	84344
2020-10-21	259	2920	7677	7288	6498	6655	3802	2517	2056	39672	124016
2020-10-28	392	4864	10177	9714	8991	9574	5342	3591	3161	55806	179822
2020-11-04	424	4507	8922	8629	8596	8648	4942	3272	3249	51189	231011
2020-11-11	414	3655	6418	6565	6417	6628	3822	2550	3119	39588	270599
2020-11-18	379	2634	5032	4903	4777	5022	2852	1947	2565	30111	300710
2020-11-25	277	2328	4318	4354	3933	4296	2463	1659	2551	26179	326889
2020-12-02	297	2444	4332	4519	4166	4564	2534	1727	2690	27273	354162
2020-12-09	414	2685	4531	4849	4674	4918	2948	2068	2917	30004	384166
2020-12-16	412	2506	4327	4787	4595	4985	2980	1946	2717	29255	413421
2020-12-23	291	1692	3645	4009	3773	4122	2569	1756	2090	23947	437368
2020-12-30	209	1683	3875	3950	3664	4038	2427	1554	1977	23377	460745
2021-01-06	272	2148	3946	3648	3281	3635	2014	1399	1662	22005	482750
