wednes_date	00	10	20	30	40	50	60	70	80	AgeSum	CumAgeSum
2020-02-26	0	0	0	0	0	0	0	0	0	0	0
2020-03-04	0	0	0	0	0	0	1	2	0	3	3
2020-03-11	0	0	0	1	0	1	2	5	16	25	28
2020-03-18	0	0	0	0	2	3	6	26	62	99	127
2020-03-25	0	0	0	1	0	5	25	66	156	253	380
2020-04-01	0	0	0	1	0	8	29	76	271	385	765
2020-04-08	0	0	0	1	1	4	13	68	256	343	1108
2020-04-15	0	0	0	0	0	6	22	40	173	241	1349
2020-04-22	0	0	0	0	0	6	7	39	142	194	1543
2020-04-29	0	0	0	1	2	3	8	19	58	91	1634
2020-05-06	0	0	0	0	0	3	9	6	36	54	1688
2020-05-13	0	0	0	0	0	0	4	4	10	18	1706
2020-05-20	0	0	0	0	0	3	0	2	9	14	1720
2020-05-27	1	0	0	0	0	0	1	0	2	4	1724
2020-06-03	0	0	0	0	0	0	0	0	1	1	1725
2020-06-10	0	0	0	0	0	1	1	1	1	4	1729
2020-06-17	0	0	0	0	0	1	0	0	1	2	1731
2020-06-24	0	0	0	0	0	0	0	0	1	1	1732
2020-07-01	0	0	0	0	0	0	2	0	0	2	1734
2020-07-08	0	0	0	0	0	0	0	2	1	3	1737
2020-07-15	0	0	0	0	0	0	0	2	2	4	1741
2020-07-22	0	0	0	0	0	0	3	1	1	5	1746
2020-07-29	0	0	0	0	0	0	0	0	5	5	1751
2020-08-05	0	0	0	0	0	1	0	3	1	5	1756
2020-08-12	0	0	0	0	1	0	2	0	2	5	1761
2020-08-19	0	0	0	0	0	2	1	1	1	5	1766
2020-08-26	0	0	0	0	0	0	2	0	2	4	1770
2020-09-02	0	0	0	0	0	0	1	1	11	13	1783
2020-09-09	0	0	0	0	0	1	3	0	14	18	1801
2020-09-16	0	0	0	0	0	0	0	3	12	15	1816
2020-09-23	0	0	0	0	0	0	0	2	11	13	1829
2020-09-30	0	0	0	0	0	0	1	3	7	11	1840
2020-10-07	0	0	0	0	0	1	2	4	12	19	1859
2020-10-14	0	0	0	0	0	0	0	9	40	49	1908
2020-10-21	0	0	0	1	0	2	4	26	112	145	2053
2020-10-28	0	0	0	1	1	4	17	69	235	327	2380
2020-11-04	0	0	0	0	0	7	34	122	396	559	2939
2020-11-11	0	0	0	0	2	6	20	129	472	629	3568
2020-11-18	0	0	0	0	2	2	30	134	459	627	4195
2020-11-25	0	0	0	0	1	8	40	129	444	622	4817
2020-12-02	0	0	0	0	2	4	36	109	454	605	5422
2020-12-09	0	0	0	0	3	13	38	106	447	607	6029
2020-12-16	0	0	0	0	1	10	29	118	484	642	6671
2020-12-23	1	0	1	0	1	9	34	127	419	592	7263
2020-12-30	0	0	2	1	2	5	36	108	394	548	7811
2021-01-06	0	0	0	0	0	11	21	74	313	419	8230
2021-01-13	0	0	0	0	0	9	18	63	285	375	8605
2021-01-20	0	0	0	1	3	7	15	53	253	332	8937
2021-01-27	0	0	0	0	3	5	23	55	156	242	9179
2021-02-03	0	0	0	0	1	3	15	27	119	165	9344
2021-02-10	0	0	0	0	2	4	13	23	86	128	9472
2021-02-17	0	0	0	0	1	0	9	17	59	86	9558
2021-02-24	0	0	0	0	1	1	5	17	39	63	9621
2021-03-03	0	0	0	0	0	3	8	17	35	63	9684
2021-03-10	0	0	0	0	0	3	9	23	40	75	9759
2021-03-17	0	0	0	0	1	2	10	15	34	62	9821
2021-03-24	0	1	0	0	0	3	8	15	33	60	9881
2021-03-31	0	0	0	0	0	4	11	16	40	71	9952
2021-04-07	0	0	0	0	0	3	8	24	28	63	10015
2021-04-14	0	0	0	0	0	3	7	9	27	46	10061
2021-04-21	0	0	0	0	1	1	9	15	28	54	10115
2021-04-28	0	0	0	0	2	8	6	19	33	68	10183
2021-05-05	0	0	0	0	0	0	11	7	23	41	10224
2021-05-12	0	0	0	0	1	7	5	7	10	30	10254
2021-05-19	0	0	0	0	0	2	1	9	21	33	10287
2021-05-26	0	0	0	1	1	1	4	6	6	19	10306
2021-06-02	0	0	0	0	0	2	4	8	10	24	10330
2021-06-09	0	0	0	0	0	3	2	6	4	15	10345
2021-06-16	0	0	0	0	0	1	6	2	3	12	10357
2021-06-23	0	0	0	0	1	1	2	2	1	7	10364
2021-06-30	0	0	0	0	0	0	0	1	2	3	10367
2021-07-07	0	0	0	0	1	0	0	1	1	3	10370
2021-07-14	0	0	0	0	0	0	1	0	1	2	10372
2021-07-21	0	0	0	1	0	1	2	1	0	5	10377
2021-07-28	0	0	0	0	0	1	1	2	7	11	10388
2021-08-04	0	0	0	0	0	1	1	0	1	3	10391
2021-08-11	0	0	0	0	0	1	1	2	10	14	10405
2021-08-18	0	0	0	1	0	1	1	9	13	25	10430
2021-08-25	0	0	0	0	1	4	7	8	22	42	10472
2021-09-01	0	0	0	1	2	2	6	16	25	52	10524
2021-09-08	0	0	0	0	1	6	10	5	31	53	10577
2021-09-15	0	0	0	1	1	2	6	8	22	40	10617
2021-09-22	0	0	1	0	0	7	7	3	24	42	10659
2021-09-29	0	0	0	1	0	5	8	9	11	34	10693
2021-10-06	0	0	0	0	0	1	2	7	19	29	10722
2021-10-13	0	0	0	0	0	2	3	6	20	31	10753
2021-10-20	0	0	0	0	0	0	8	4	19	31	10784
2021-10-27	0	0	0	0	1	2	4	8	26	41	10825
