geoRegion,period_start_date,period_end_date,pop,inzCategoryNormalized,type,geoRegion_type,version,geoVersion
BZRK0101,2020-02-24,2020-03-08,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-03-09,2020-03-22,55839,60-119,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-03-23,2020-04-05,55839,60-119,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-04-06,2020-04-19,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-04-20,2020-05-03,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-05-04,2020-05-17,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-05-18,2020-05-31,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-06-01,2020-06-14,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-06-15,2020-06-28,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-06-29,2020-07-12,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-07-13,2020-07-26,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-07-27,2020-08-09,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-08-10,2020-08-23,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-08-24,2020-09-06,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-09-07,2020-09-20,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-09-21,2020-10-04,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-10-05,2020-10-18,55839,120-239,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-10-19,2020-11-01,55839,480-959,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-11-02,2020-11-15,55839,480-959,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-11-16,2020-11-29,55839,480-959,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-11-30,2020-12-13,55839,480-959,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-12-14,2020-12-27,55839,480-959,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2020-12-28,2021-01-10,55839,240-479,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-01-11,2021-01-24,55839,240-479,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-01-25,2021-02-07,55839,120-239,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-02-08,2021-02-21,55839,120-239,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-02-22,2021-03-07,55839,120-239,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-03-08,2021-03-21,55839,120-239,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-03-22,2021-04-04,55839,120-239,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-04-05,2021-04-18,55839,120-239,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-04-19,2021-05-02,55839,240-479,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-05-03,2021-05-16,55839,120-239,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-05-17,2021-05-30,55839,60-119,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-05-31,2021-06-13,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-06-14,2021-06-27,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-06-28,2021-07-11,55839,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-07-12,2021-07-25,55839,60-119,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-07-26,2021-08-08,55839,60-119,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-08-09,2021-08-22,55839,120-239,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-08-23,2021-09-05,55839,240-479,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-09-06,2021-09-19,55839,240-479,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-09-20,2021-10-03,55839,120-239,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-10-04,2021-10-17,55839,60-119,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0101,2021-10-18,2021-10-31,55839,120-239,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0102,2020-02-24,2020-03-08,31959,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0102,2020-03-09,2020-03-22,31959,60-119,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0102,2020-03-23,2020-04-05,31959,120-239,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0102,2020-04-06,2020-04-19,31959,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0102,2020-04-20,2020-05-03,31959,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0102,2020-05-04,2020-05-17,31959,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
BZRK0102,2020-05-18,2020-05-31,31959,0-59,COVID19Cases,BZRK,2021-11-03_07-53-32,2021-01-01
