geoRegion,date,pop,inzCategoryNormalized,type,geoRegion_type,version,geoVersion
GBAE14,2020-02-24,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-02-25,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-02-26,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-02-27,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-02-28,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-02-29,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-01,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-02,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-03,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-04,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-05,200920,60-119,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-06,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-07,200920,60-119,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-08,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-09,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-10,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-11,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-12,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-13,200920,240-479,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-14,200920,240-479,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-15,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-16,200920,480-959,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-17,200920,480-959,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-18,200920,240-479,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-19,200920,240-479,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-20,200920,480-959,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-21,200920,240-479,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-22,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-23,200920,480-959,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-24,200920,480-959,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-25,200920,480-959,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-26,200920,240-479,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-27,200920,480-959,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-28,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-29,200920,60-119,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-30,200920,240-479,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-03-31,200920,240-479,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-01,200920,240-479,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-02,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-03,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-04,200920,60-119,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-05,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-06,200920,240-479,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-07,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-08,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-09,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-10,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-11,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-12,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-13,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-14,200920,60-119,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-15,200920,60-119,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-16,200920,60-119,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-17,200920,120-239,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-18,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-19,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-20,200920,60-119,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-21,200920,60-119,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-22,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-23,200920,60-119,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-24,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-25,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-26,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-27,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-28,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-29,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-04-30,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-01,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-02,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-03,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-04,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-05,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-06,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-07,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-08,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-09,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-10,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-11,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-12,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-13,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-14,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-15,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-16,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-17,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-18,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-19,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-20,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-21,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-22,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-23,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-24,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-25,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-26,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-27,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-28,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-29,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-30,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-05-31,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-06-01,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
GBAE14,2020-06-02,200920,0-59,COVID19Cases,GBAE,2021-11-03_07-53-32,2021-01-01
