sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
male,CH,202009,39,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,242277,0,0.696,69.6,4302599,0.91,0.91,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-09,NA,NA,NA,NA
female,CH,202009,17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,269097,0,0.304,30.4,4367701,0.39,0.39,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-09,NA,NA,NA,NA
unknown,CH,202009,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,128,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-09,NA,NA,NA,NA
male,CH,202010,187,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,226,242277,0,0.496,49.6,4302599,4.35,5.25,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-10,148,3.44,379.5,-19.999999999999993
female,CH,202010,190,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,207,269097,0,0.504,50.4,4367701,4.35,4.74,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-10,173,3.96,1017.6,20
unknown,CH,202010,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,128,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-10,0,NA,NA,0
male,CH,202011,1119,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1345,242277,0,0.494,49.4,4302599,26.01,31.26,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-11,932,21.66,498.4,-0.20000000000000284
female,CH,202011,1144,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1351,269097,0,0.505,50.5,4367701,26.19,30.93,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-11,954,21.84,502.1,0.10000000000000142
unknown,CH,202011,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,128,0,0.001,0.1,NA,NA,NA,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-11,2,NA,NA,0.1
male,CH,202012,3176,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4521,242277,0,0.484,48.4,4302599,73.82,105.08,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-12,2057,47.81,183.8,-1
female,CH,202012,3380,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4731,269097,0,0.515,51.5,4367701,77.39,108.32,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-12,2236,51.2,195.5,1
unknown,CH,202012,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,128,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-12,1,NA,50,-0.1
male,CH,202013,3410,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7931,242277,0,0.464,46.400000000000006,4302599,79.25,184.33,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-13,234,5.43,7.4,-1.999999999999993
female,CH,202013,3927,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8658,269097,0,0.535,53.5,4367701,89.91,198.23,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-13,547,12.52,16.2,2
unknown,CH,202013,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,128,0,0.001,0.1,NA,NA,NA,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-13,6,NA,200,0.1
male,CH,202014,2699,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10630,242277,0,0.448,44.800000000000004,4302599,62.73,247.06,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-14,-711,-16.52,-20.9,-1.6000000000000014
female,CH,202014,3322,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11980,269097,0,0.551,55.1,4367701,76.06,274.29,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-14,-605,-13.85,-15.4,1.6000000000000014
unknown,CH,202014,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,128,0,0.001,0.1,NA,NA,NA,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-14,-5,NA,-55.6,0
male,CH,202015,1531,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12161,242277,0,0.425,42.5,4302599,35.58,282.64,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-15,-1168,-27.15,-43.3,-2.3000000000000043
female,CH,202015,2069,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14049,269097,0,0.575,57.49999999999999,4367701,47.37,321.66,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-15,-1253,-28.69,-37.7,2.3999999999999915
unknown,CH,202015,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,128,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2020-15,-3,NA,-75,-0.1
