date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-01-27,moderna,fully_vaccinated,0,0,118,0,NA,NA,NA,0,0,NA,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-01-28,moderna,fully_vaccinated,0,0,166,0,NA,NA,NA,0,0,NA,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-01-29,moderna,fully_vaccinated,0,0,174,0,NA,NA,NA,0,0,NA,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-01-30,moderna,fully_vaccinated,0,0,174,0,NA,0,0,NA,0,NA,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-01-31,moderna,fully_vaccinated,0,0,174,0,NA,0,0,0,0,NA,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-01,moderna,fully_vaccinated,0,0,190,0,NA,0,0,0,0,NA,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-02,moderna,fully_vaccinated,0,0,217,0,NA,0,0,0,0,NA,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-03,moderna,fully_vaccinated,0,0,283,0,NA,0,0,0,0,0,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-04,moderna,fully_vaccinated,0,0,385,0,NA,0,0,0,0,0,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-05,moderna,fully_vaccinated,0,0,425,0,NA,0,0,0,0,0,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-06,moderna,fully_vaccinated,0,0,426,0,NA,0,0,0,0,0,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-07,moderna,fully_vaccinated,0,0,427,0,NA,0,0,0,0,0,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-08,moderna,fully_vaccinated,0,0,457,0,NA,0,0,0,0,0,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-09,moderna,fully_vaccinated,0,0,508,0,NA,0,0,0,0,0,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-10,moderna,fully_vaccinated,0,0,805,0,NA,0,0,0,0,0,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-11,moderna,fully_vaccinated,0,0,980,0,NA,0,0,0,0,0,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-12,moderna,fully_vaccinated,0,0,1826,0,NA,0,0,0,0,0,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-13,moderna,fully_vaccinated,0,0,3944,0,NA,0,0,0,0,0,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-14,moderna,fully_vaccinated,0,0,4024,0,NA,0.14,3.48,0,0,2.86,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-15,moderna,fully_vaccinated,0,0,5438,0,NA,0.14,2.57,0,0,2.86,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-16,moderna,fully_vaccinated,0,0,9533,0,NA,0.14,1.47,0,0,2.86,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-17,moderna,fully_vaccinated,1,1,15186,6.59,NA,0.14,0.92,20,1.2,2.86,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-18,moderna,fully_vaccinated,0,1,22347,0,NA,0.29,1.3,0,1.14,10,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-19,moderna,fully_vaccinated,0,1,29311,0,NA,0.29,0.99,0,1.08,10,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-20,moderna,fully_vaccinated,0,1,32796,0,NA,0.29,0.88,0,0.99,10,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-21,moderna,fully_vaccinated,1,2,33259,3.01,NA,0.29,0.87,50,1.94,11.9,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-22,moderna,fully_vaccinated,0,2,41007,0,NA,0.29,0.71,0,1.85,11.9,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-23,moderna,fully_vaccinated,0,2,52636,0,NA,0.29,0.55,0,1.75,11.9,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-24,moderna,fully_vaccinated,1,3,65495,1.53,NA,0.29,0.44,33.33,2.56,11.9,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
2021-02-25,moderna,fully_vaccinated,0,3,79693,0,NA,0.14,0.18,0,2.36,4.76,CHFL,COVID19Cases,vaccine,limited,2021-11-03_07-53-32
