geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
CH,202009,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,8937,0,NA,NA,8670300,0,0,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-09,NA,NA,NA,NA
CH,202010,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,8937,0,1,100,8670300,0.03,0.03,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-10,3,0.03,NA,NA
CH,202011,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,8937,0,1,100,8670300,0.29,0.32,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-11,22,0.26,733.3,0
CH,202012,99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,127,8937,0,1,100,8670300,1.14,1.46,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-12,74,0.85,296,0
CH,202013,253,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,380,8937,0,1,100,8670300,2.92,4.38,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-13,154,1.78,155.6,0
CH,202014,385,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,765,8937,0,1,100,8670300,4.44,8.82,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-14,132,1.52,52.2,0
CH,202015,343,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1108,8937,0,1,100,8670300,3.96,12.78,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-15,-42,-0.48,-10.9,0
CH,202016,241,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1349,8937,0,1,100,8670300,2.78,15.56,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-16,-102,-1.18,-29.7,0
CH,202017,194,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1543,8937,0,1,100,8670300,2.24,17.8,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-17,-47,-0.54,-19.5,0
CH,202018,91,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1634,8937,0,1,100,8670300,1.05,18.85,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-18,-103,-1.19,-53.1,0
CH,202019,54,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1688,8937,0,1,100,8670300,0.62,19.47,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-19,-37,-0.43,-40.7,0
CH,202020,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1706,8937,0,1,100,8670300,0.21,19.68,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-20,-36,-0.41,-66.7,0
CH,202021,14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1720,8937,0,1,100,8670300,0.16,19.84,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-21,-4,-0.05,-22.2,0
CH,202022,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1724,8937,0,1,100,8670300,0.05,19.88,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-22,-10,-0.11,-71.4,0
CH,202023,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1725,8937,0,1,100,8670300,0.01,19.9,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-23,-3,-0.04,-75,0
CH,202024,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1729,8937,0,1,100,8670300,0.05,19.94,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-24,3,0.04,300,0
CH,202025,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1731,8937,0,1,100,8670300,0.02,19.96,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-25,-2,-0.03,-50,0
CH,202026,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1732,8937,0,1,100,8670300,0.01,19.98,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-26,-1,-0.01,-50,0
CH,202027,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1734,8937,0,1,100,8670300,0.02,20,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-27,1,0.01,100,0
CH,202028,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1737,8937,0,1,100,8670300,0.03,20.03,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-28,1,0.01,50,0
CH,202029,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1741,8937,0,1,100,8670300,0.05,20.08,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-29,1,0.02,33.3,0
CH,202030,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1746,8937,0,1,100,8670300,0.06,20.14,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-30,1,0.01,25,0
CH,202031,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1751,8937,0,1,100,8670300,0.06,20.2,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-31,0,0,0,0
CH,202032,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1756,8937,0,1,100,8670300,0.06,20.25,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-32,0,0,0,0
CH,202033,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1761,8937,0,1,100,8670300,0.06,20.31,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-33,0,0,0,0
CH,202034,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1766,8937,0,1,100,8670300,0.06,20.37,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-34,0,0,0,0
CH,202035,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1770,8937,0,1,100,8670300,0.05,20.41,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-35,-1,-0.01,-20,0
CH,202036,13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1783,8937,0,1,100,8670300,0.15,20.56,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-36,9,0.1,225,0
CH,202037,18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1801,8937,0,1,100,8670300,0.21,20.77,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-37,5,0.06,38.5,0
CH,202038,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1816,8937,0,1,100,8670300,0.17,20.95,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-38,-3,-0.04,-16.7,0
CH,202039,13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1829,8937,0,1,100,8670300,0.15,21.1,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-39,-2,-0.02,-13.3,0
CH,202040,11,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1840,8937,0,1,100,8670300,0.13,21.22,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-40,-2,-0.02,-15.4,0
CH,202041,19,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1859,8937,0,1,100,8670300,0.22,21.44,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-41,8,0.09,72.7,0
CH,202042,49,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1908,8937,0,1,100,8670300,0.57,22.01,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-42,30,0.35,157.9,0
CH,202043,145,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2053,8937,0,1,100,8670300,1.67,23.68,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-43,96,1.1,195.9,0
CH,202044,327,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2380,8937,0,1,100,8670300,3.77,27.45,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-44,182,2.1,125.5,0
CH,202045,559,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2939,8937,0,1,100,8670300,6.45,33.9,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-45,232,2.68,70.9,0
CH,202046,629,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3568,8937,0,1,100,8670300,7.25,41.15,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-46,70,0.8,12.5,0
CH,202047,627,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4195,8937,0,1,100,8670300,7.23,48.38,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-47,-2,-0.02,-0.3,0
CH,202048,622,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4817,8937,0,1,100,8670300,7.17,55.56,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-48,-5,-0.06,-0.8,0
CH,202049,605,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5422,8937,0,1,100,8670300,6.98,62.54,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-49,-17,-0.19,-2.7,0
CH,202050,607,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6029,8937,0,1,100,8670300,7,69.54,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-50,2,0.02,0.3,0
CH,202051,642,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6671,8937,0,1,100,8670300,7.4,76.94,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-51,35,0.4,5.8,0
CH,202052,592,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7263,8937,0,1,100,8670300,6.83,83.77,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-52,-50,-0.57,-7.8,0
CH,202053,548,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7811,8937,0,1,100,8670300,6.32,90.09,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-53,-44,-0.51,-7.4,0
CH,202101,419,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8230,8937,0,1,100,8670300,4.83,94.92,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-01,-129,-1.49,-23.5,0
CH,202102,375,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8605,8937,0,1,100,8670300,4.33,99.25,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-02,-44,-0.5,-10.5,0
CH,202103,332,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8937,8937,0,1,100,8670300,3.83,103.08,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-03,-43,-0.5,-11.5,0
CH,202104,242,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9179,8937,242,1,100,8670300,2.79,105.87,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-04,-90,-1.04,-27.1,0
CH,202105,165,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9344,8937,407,1,100,8670300,1.9,107.77,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-05,-77,-0.89,-31.8,0
CH,202106,128,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9472,8937,535,1,100,8670300,1.48,109.25,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-06,-37,-0.42,-22.4,0
CH,202107,86,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,9558,8937,621,1,100,8670300,0.99,110.24,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-07,-42,-0.49,-32.8,0
