date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202104,0 - 9,fully_vaccinated,0,0,5,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,0 - 9,partially_vaccinated,0,0,16,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,0 - 9,not_vaccinated,0,0,880566,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,0 - 9,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,10 - 19,fully_vaccinated,0,0,51,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,10 - 19,partially_vaccinated,0,0,1056,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,10 - 19,not_vaccinated,0,0,852268,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,10 - 19,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,20 - 29,fully_vaccinated,0,0,396,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,20 - 29,partially_vaccinated,0,0,7792,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,20 - 29,not_vaccinated,0,0,1034429,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,20 - 29,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,30 - 39,fully_vaccinated,0,0,703,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,30 - 39,partially_vaccinated,0,0,12115,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,30 - 39,not_vaccinated,0,0,1235422,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,30 - 39,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,40 - 49,fully_vaccinated,0,0,1057,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,40 - 49,partially_vaccinated,0,0,16489,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
