date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202104,female,fully_vaccinated,0,0,8805,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,female,partially_vaccinated,4,4,157562,2.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,female,not_vaccinated,21,21,4221021,0.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,female,unknown,58,58,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,male,fully_vaccinated,0,0,6551,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,male,partially_vaccinated,4,4,120137,3.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,male,not_vaccinated,28,28,4195279,0.67,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,male,unknown,54,54,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,unknown,partially_vaccinated,0,0,32,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202104,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,female,fully_vaccinated,0,0,28206,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,female,partially_vaccinated,8,12,175939,4.55,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,female,not_vaccinated,28,49,4183243,0.67,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,female,unknown,51,109,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,male,fully_vaccinated,0,0,18636,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,male,partially_vaccinated,4,8,138737,2.88,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,male,not_vaccinated,29,57,4164594,0.7,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,male,unknown,46,100,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,unknown,partially_vaccinated,0,0,40,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,female,fully_vaccinated,1,1,60991,1.64,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,female,partially_vaccinated,5,17,188698,2.65,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,female,not_vaccinated,22,71,4137699,0.53,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,female,unknown,26,135,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,male,fully_vaccinated,0,0,42155,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,male,partially_vaccinated,5,13,147301,3.39,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,male,not_vaccinated,33,90,4132511,0.8,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,male,unknown,37,137,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,unknown,fully_vaccinated,0,0,4,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,unknown,partially_vaccinated,0,0,53,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,female,fully_vaccinated,0,1,100378,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,female,partially_vaccinated,4,21,183125,2.18,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,female,not_vaccinated,13,84,4103885,0.32,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,female,unknown,28,163,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,male,fully_vaccinated,0,0,75042,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,male,partially_vaccinated,0,13,139272,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,male,not_vaccinated,22,112,4107653,0.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,male,unknown,19,156,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,unknown,fully_vaccinated,0,0,11,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,unknown,partially_vaccinated,0,0,57,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,female,fully_vaccinated,2,3,150135,1.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,female,partially_vaccinated,3,24,161272,1.86,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,female,not_vaccinated,7,91,4075981,0.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,female,unknown,15,178,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,male,fully_vaccinated,1,1,115227,0.87,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,male,partially_vaccinated,5,18,119768,4.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,male,not_vaccinated,12,124,4086972,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,male,unknown,18,174,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,unknown,fully_vaccinated,0,0,24,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,unknown,partially_vaccinated,0,0,47,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202108,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,female,fully_vaccinated,0,3,193610,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,female,partially_vaccinated,2,26,159428,1.25,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,female,not_vaccinated,14,105,4034350,0.35,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,female,unknown,14,192,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,male,fully_vaccinated,0,1,148491,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,male,partially_vaccinated,1,19,120053,0.83,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,male,not_vaccinated,11,135,4053423,0.27,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,male,unknown,22,196,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,unknown,fully_vaccinated,0,0,36,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202109,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202110,female,fully_vaccinated,2,5,229276,0.87,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202110,female,partially_vaccinated,1,27,174390,0.57,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202110,female,not_vaccinated,14,119,3983722,0.35,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202110,female,unknown,13,205,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202110,male,fully_vaccinated,1,2,175051,0.57,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202110,male,partially_vaccinated,2,21,132876,1.51,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202110,male,not_vaccinated,24,159,4014040,0.6,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202110,male,unknown,18,214,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202110,unknown,fully_vaccinated,0,0,45,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202110,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202110,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202110,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202111,female,fully_vaccinated,0,5,273134,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202111,female,partially_vaccinated,3,30,172828,1.74,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202111,female,not_vaccinated,9,128,3941426,0.23,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202111,female,unknown,15,220,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202111,male,fully_vaccinated,1,3,204962,0.49,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202111,male,partially_vaccinated,3,24,138346,2.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202111,male,not_vaccinated,13,172,3978659,0.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202111,male,unknown,18,232,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202111,unknown,fully_vaccinated,0,0,63,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202111,unknown,partially_vaccinated,0,0,73,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202111,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202111,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,female,fully_vaccinated,1,6,312321,0.32,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,female,partially_vaccinated,0,30,195143,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,female,not_vaccinated,14,142,3879924,0.36,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,female,unknown,10,230,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,male,fully_vaccinated,1,4,235199,0.43,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202112,male,partially_vaccinated,4,28,160268,2.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
