sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
male,CH,202009,26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,13030,0,0.5,50,4302599,0.6,0.6,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-09,NA,NA,NA,NA
female,CH,202009,26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,9557,0,0.5,50,4367701,0.6,0.6,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-09,NA,NA,NA,NA
unknown,CH,202009,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-09,NA,NA,NA,NA
male,CH,202010,57,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,83,13030,0,0.514,51.4,4302599,1.32,1.93,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-10,31,0.72,119.2,1.3999999999999986
female,CH,202010,54,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80,9557,0,0.486,48.6,4367701,1.24,1.83,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-10,28,0.64,107.7,-1.3999999999999986
unknown,CH,202010,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-10,0,NA,NA,0
male,CH,202011,199,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,282,13030,0,0.567,56.699999999999996,4302599,4.63,6.55,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-11,142,3.31,249.1,5.299999999999997
female,CH,202011,152,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,232,9557,0,0.433,43.3,4367701,3.48,5.31,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-11,98,2.24,181.5,-5.300000000000004
unknown,CH,202011,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-11,0,NA,NA,0
male,CH,202012,515,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,797,13030,0,0.614,61.4,4302599,11.97,18.52,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-12,316,7.34,158.8,4.700000000000003
female,CH,202012,324,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,556,9557,0,0.386,38.6,4367701,7.42,12.73,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-12,172,3.94,113.2,-4.699999999999996
unknown,CH,202012,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-12,0,NA,NA,0
male,CH,202013,741,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1538,13030,0,0.631,63.1,4302599,17.22,35.75,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-13,226,5.25,43.9,1.7000000000000028
female,CH,202013,433,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,989,9557,0,0.369,36.9,4367701,9.91,22.64,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-13,109,2.49,33.6,-1.7000000000000028
unknown,CH,202013,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-13,0,NA,NA,0
male,CH,202014,425,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1963,13030,0,0.632,63.2,4302599,9.88,45.62,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-14,-316,-7.34,-42.6,0.10000000000000142
female,CH,202014,247,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1236,9557,0,0.367,36.7,4367701,5.66,28.3,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-14,-186,-4.25,-43,-0.19999999999999574
unknown,CH,202014,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0.001,0.1,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-14,1,NA,NA,0.1
male,CH,202015,229,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2192,13030,0,0.606,60.6,4302599,5.32,50.95,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-15,-196,-4.56,-46.1,-2.6000000000000014
female,CH,202015,149,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1385,9557,0,0.394,39.4,4367701,3.41,31.71,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-15,-98,-2.25,-39.7,2.6999999999999957
unknown,CH,202015,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-15,-1,NA,-100,-0.1
male,CH,202016,129,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2321,13030,0,0.576,57.599999999999994,4302599,3,53.94,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-16,-100,-2.32,-43.7,-3.000000000000007
female,CH,202016,95,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1480,9557,0,0.424,42.4,4367701,2.18,33.89,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2020-16,-54,-1.23,-36.2,3
