geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
CH,202009,52,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,22588,0,1,100,8670300,0.6,0.6,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-09,NA,NA,NA,NA
CH,202010,111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,163,22588,0,1,100,8670300,1.28,1.88,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-10,59,0.68,113.5,0
CH,202011,351,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,514,22588,0,1,100,8670300,4.05,5.93,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-11,240,2.77,216.2,0
CH,202012,839,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1353,22588,0,1,100,8670300,9.68,15.6,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-12,488,5.63,139,0
CH,202013,1174,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2527,22588,0,1,100,8670300,13.54,29.15,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-13,335,3.86,39.9,0
CH,202014,673,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3200,22588,0,1,100,8670300,7.76,36.91,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-14,-501,-5.78,-42.7,0
CH,202015,378,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3578,22588,0,1,100,8670300,4.36,41.27,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-15,-295,-3.4,-43.8,0
CH,202016,224,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3802,22588,0,1,100,8670300,2.58,43.85,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-16,-154,-1.78,-40.7,0
CH,202017,107,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3909,22588,0,1,100,8670300,1.23,45.08,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-17,-117,-1.35,-52.2,0
CH,202018,66,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3975,22588,0,1,100,8670300,0.76,45.85,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-18,-41,-0.47,-38.3,0
CH,202019,31,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4006,22588,0,1,100,8670300,0.36,46.2,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-19,-35,-0.4,-53,0
CH,202020,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4031,22588,0,1,100,8670300,0.29,46.49,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-20,-6,-0.07,-19.4,0
CH,202021,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4046,22588,0,1,100,8670300,0.17,46.67,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-21,-10,-0.12,-40,0
CH,202022,19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4065,22588,0,1,100,8670300,0.22,46.88,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-22,4,0.05,26.7,0
CH,202023,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4070,22588,0,1,100,8670300,0.06,46.94,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2020-23,-14,-0.16,-73.7,0
