date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-01-27,moderna,fully_vaccinated,0,0,118,0,NA,NA,NA,NA,NA,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-01-28,moderna,fully_vaccinated,0,0,166,0,NA,NA,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-01-29,moderna,fully_vaccinated,0,0,174,0,NA,NA,NA,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-01-30,moderna,fully_vaccinated,0,0,174,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-01-31,moderna,fully_vaccinated,0,0,174,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-01,moderna,fully_vaccinated,0,0,190,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-02,moderna,fully_vaccinated,0,0,217,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-03,moderna,fully_vaccinated,0,0,283,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-04,moderna,fully_vaccinated,0,0,385,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-05,moderna,fully_vaccinated,0,0,425,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-06,moderna,fully_vaccinated,0,0,426,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-07,moderna,fully_vaccinated,0,0,427,0,NA,0.14,32.79,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-08,moderna,fully_vaccinated,0,0,457,0,NA,0.14,30.63,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-09,moderna,fully_vaccinated,0,0,508,0,NA,0.14,27.56,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-10,moderna,fully_vaccinated,1,1,805,124.22,NA,0.14,17.39,100,9.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-11,moderna,fully_vaccinated,0,1,980,0,NA,0.14,14.29,0,8.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-12,moderna,fully_vaccinated,0,1,1826,0,NA,0.14,7.67,NA,8.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-13,moderna,fully_vaccinated,0,1,3944,0,NA,0.29,7.35,0,7.14,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-14,moderna,fully_vaccinated,0,1,4024,0,NA,0.29,7.21,0,6.25,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-15,moderna,fully_vaccinated,0,1,5438,0,NA,0.29,5.33,0,5.56,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-16,moderna,fully_vaccinated,1,2,9533,10.49,NA,0.29,3.04,33.33,9.52,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-17,moderna,fully_vaccinated,1,3,15186,6.59,NA,0.29,1.91,100,13.64,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-18,moderna,fully_vaccinated,0,3,22347,0,NA,0.43,1.92,0,12.5,33.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-19,moderna,fully_vaccinated,0,3,29311,0,NA,0.43,1.47,0,10.71,33.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-20,moderna,fully_vaccinated,0,3,32796,0,NA,0.29,0.88,0,10.34,28.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-21,moderna,fully_vaccinated,1,4,33259,3.01,NA,0.14,0.42,100,13.33,14.29,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-22,moderna,fully_vaccinated,0,4,41007,0,NA,0.14,0.34,0,12.5,14.29,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-23,moderna,fully_vaccinated,0,4,52636,0,NA,0.14,0.27,0,10.53,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-24,moderna,fully_vaccinated,0,4,65495,0,NA,0.14,0.21,0,10.26,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-25,moderna,fully_vaccinated,0,4,79693,0,NA,0,0,0,10,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-26,moderna,fully_vaccinated,0,4,92557,0,NA,0,0,NA,10,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-27,moderna,fully_vaccinated,0,4,96364,0,NA,0.29,0.3,NA,10,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-02-28,moderna,fully_vaccinated,0,4,97401,0,NA,0.43,0.44,0,9.76,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-01,moderna,fully_vaccinated,0,4,106685,0,NA,0.43,0.4,0,9.52,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-02,moderna,fully_vaccinated,2,6,117802,1.7,NA,0.57,0.48,66.67,13.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-03,moderna,fully_vaccinated,1,7,129456,0.77,NA,0.57,0.44,33.33,14.58,28.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-04,moderna,fully_vaccinated,0,7,140649,0,NA,0.57,0.41,0,14,28.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-05,moderna,fully_vaccinated,1,8,150435,0.66,NA,0.57,0.38,100,15.69,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-06,moderna,fully_vaccinated,0,8,152355,0,NA,0.29,0.19,0,15.38,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-07,moderna,fully_vaccinated,0,8,153155,0,NA,0.29,0.19,0,15.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-08,moderna,fully_vaccinated,0,8,160837,0,NA,0.29,0.18,NA,15.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-09,moderna,fully_vaccinated,0,8,170999,0,NA,0.29,0.17,0,14.81,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-10,moderna,fully_vaccinated,1,9,180397,0.55,NA,0.29,0.16,100,16.36,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-11,moderna,fully_vaccinated,0,9,190815,0,NA,0.29,0.15,0,15.79,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-12,moderna,fully_vaccinated,1,10,199485,0.5,NA,0.29,0.15,33.33,16.67,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-13,moderna,fully_vaccinated,0,10,201315,0,NA,0.29,0.14,0,16.39,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-14,moderna,fully_vaccinated,0,10,201663,0,NA,0.14,0.07,0,15.38,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-15,moderna,fully_vaccinated,0,10,208994,0,NA,0.14,0.07,0,14.93,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-16,moderna,fully_vaccinated,0,10,217613,0,NA,0,0,0,14.71,0,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-17,moderna,fully_vaccinated,0,10,226723,0,NA,0.14,0.06,0,14.08,3.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
