date,geoRegion,location,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,vaccination_centre,0,location,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202053,AG,vaccination_centre,243,location,694072,243,NA,0.996,99.6,99.2,0.04,0.04,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202101,AG,vaccination_centre,2279,location,694072,2522,NA,0.903,90.3,91.10000000000001,0.33,0.36,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202102,AG,vaccination_centre,2775,location,694072,5297,NA,0.794,79.4,84.5,0.4,0.76,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202103,AG,vaccination_centre,4739,location,694072,10036,NA,0.768,76.8,80.7,0.68,1.45,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202104,AG,vaccination_centre,4027,location,694072,14063,NA,0.636,63.6,74.9,0.58,2.03,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202105,AG,vaccination_centre,5210,location,694072,19273,NA,0.601,60.099999999999994,70.3,0.75,2.78,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202106,AG,vaccination_centre,6329,location,694072,25602,NA,0.821,82.1,72.89999999999999,0.91,3.69,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202107,AG,vaccination_centre,9703,location,694072,35305,NA,0.873,87.3,76.3,1.4,5.09,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202108,AG,vaccination_centre,11765,location,694072,47070,NA,0.79,79,77,1.7,6.78,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202109,AG,vaccination_centre,10742,location,694072,57812,NA,0.782,78.2,77.2,1.55,8.33,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202110,AG,vaccination_centre,11996,location,694072,69808,NA,0.882,88.2,78.9,1.73,10.06,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202111,AG,vaccination_centre,10296,location,694072,80104,NA,0.975,97.5,80.9,1.48,11.54,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202112,AG,vaccination_centre,16168,location,694072,96272,NA,0.985,98.5,83.39999999999999,2.33,13.87,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202113,AG,vaccination_centre,15446,location,694072,111718,NA,0.984,98.4,85.2,2.23,16.1,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202114,AG,vaccination_centre,19501,location,694072,131219,NA,0.935,93.5,86.3,2.81,18.91,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202115,AG,vaccination_centre,24044,location,694072,155263,NA,0.955,95.5,87.6,3.46,22.37,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202116,AG,vaccination_centre,27378,location,694072,182641,NA,0.916,91.60000000000001,88.2,3.94,26.31,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202117,AG,vaccination_centre,23246,location,694072,205887,NA,0.932,93.2,88.7,3.35,29.66,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202118,AG,vaccination_centre,29591,location,694072,235478,NA,0.853,85.3,88.3,4.26,33.93,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202119,AG,vaccination_centre,27874,location,694072,263352,NA,0.853,85.3,87.9,4.02,37.94,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202120,AG,vaccination_centre,30030,location,694072,293382,NA,0.779,77.9,86.8,4.33,42.27,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202121,AG,vaccination_centre,33261,location,694072,326643,NA,0.813,81.3,86.2,4.79,47.06,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202122,AG,vaccination_centre,44119,location,694072,370762,NA,0.86,86,86.2,6.36,53.42,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202123,AG,vaccination_centre,43763,location,694072,414525,NA,0.879,87.9,86.4,6.31,59.72,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
