date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,0,sex,348814,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0,0
202053,AG,male,79,sex,348814,79,0.02,0.02,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.324,32.4
202101,AG,male,1192,sex,348814,1271,0.34,0.36,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.472,47.199999999999996
202102,AG,male,1543,sex,348814,2814,0.44,0.81,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.441,44.1
202103,AG,male,2808,sex,348814,5622,0.81,1.61,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.455,45.5
202104,AG,male,2641,sex,348814,8263,0.76,2.37,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.417,41.699999999999996
202105,AG,male,3528,sex,348814,11791,1.01,3.38,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.407,40.699999999999996
202106,AG,male,3278,sex,348814,15069,0.94,4.32,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.425,42.5
202107,AG,male,5038,sex,348814,20107,1.44,5.76,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.453,45.300000000000004
202108,AG,male,6571,sex,348814,26678,1.88,7.65,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.441,44.1
202109,AG,male,5994,sex,348814,32672,1.72,9.37,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.436,43.6
202110,AG,male,6062,sex,348814,38734,1.74,11.1,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.446,44.6
202111,AG,male,4806,sex,348814,43540,1.38,12.48,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.455,45.5
202112,AG,male,7747,sex,348814,51287,2.22,14.7,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.472,47.199999999999996
202113,AG,male,7487,sex,348814,58774,2.15,16.85,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.477,47.699999999999996
202114,AG,male,9760,sex,348814,68534,2.8,19.65,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.468,46.800000000000004
202115,AG,male,10927,sex,348814,79461,3.13,22.78,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.434,43.4
202116,AG,male,14561,sex,348814,94022,4.17,26.95,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.487,48.699999999999996
202117,AG,male,11922,sex,348814,105944,3.42,30.37,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.478,47.8
202118,AG,male,16982,sex,348814,122926,4.87,35.24,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.489,48.9
202119,AG,male,14711,sex,348814,137637,4.22,39.46,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.45,45
202120,AG,male,18493,sex,348814,156130,5.3,44.76,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.48,48
202121,AG,male,20637,sex,348814,176767,5.92,50.68,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.504,50.4
202122,AG,male,26643,sex,348814,203410,7.64,58.31,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.52,52
202123,AG,male,25888,sex,348814,229298,7.42,65.74,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.52,52
202124,AG,male,22410,sex,348814,251708,6.42,72.16,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.53,53
202125,AG,male,18827,sex,348814,270535,5.4,77.56,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.523,52.300000000000004
202126,AG,male,18615,sex,348814,289150,5.34,82.9,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.533,53.300000000000004
202127,AG,male,19387,sex,348814,308537,5.56,88.45,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.542,54.2
202128,AG,male,16294,sex,348814,324831,4.67,93.12,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.553,55.300000000000004
202129,AG,male,10232,sex,348814,335063,2.93,96.06,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.535,53.5
202130,AG,male,7663,sex,348814,342726,2.2,98.25,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.521,52.1
202131,AG,male,6557,sex,348814,349283,1.88,100.13,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.512,51.2
202132,AG,male,5780,sex,348814,355063,1.66,101.79,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.516,51.6
202133,AG,male,6074,sex,348814,361137,1.74,103.53,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.503,50.3
202134,AG,male,7579,sex,348814,368716,2.17,105.71,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.503,50.3
202135,AG,male,7538,sex,348814,376254,2.16,107.87,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.508,50.8
202136,AG,male,9016,sex,348814,385270,2.58,110.45,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.522,52.2
202137,AG,male,10170,sex,348814,395440,2.92,113.37,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.525,52.5
202138,AG,male,8221,sex,348814,403661,2.36,115.72,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.505,50.5
202139,AG,male,7475,sex,348814,411136,2.14,117.87,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.51,51
202140,AG,male,7090,sex,348814,418226,2.03,119.9,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.523,52.300000000000004
202141,AG,male,7213,sex,348814,425439,2.07,121.97,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.524,52.400000000000006
202142,AG,male,5625,sex,348814,431064,1.61,123.58,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.523,52.300000000000004
202143,AG,male,4274,sex,348814,435338,1.23,124.81,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.519,51.9
202052,AG,female,1,sex,345258,1,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,1,100
202053,AG,female,165,sex,345258,166,0.05,0.05,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.676,67.60000000000001
202101,AG,female,1330,sex,345258,1496,0.39,0.43,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.527,52.7
202102,AG,female,1953,sex,345258,3449,0.57,1,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.558,55.800000000000004
202103,AG,female,3362,sex,345258,6811,0.97,1.97,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.545,54.50000000000001
202104,AG,female,3689,sex,345258,10500,1.07,3.04,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.583,58.3
202105,AG,female,5134,sex,345258,15634,1.49,4.53,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.593,59.3
202106,AG,female,4431,sex,345258,20065,1.28,5.81,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.575,57.49999999999999
202107,AG,female,6076,sex,345258,26141,1.76,7.57,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.547,54.7
202108,AG,female,8323,sex,345258,34464,2.41,9.98,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.559,55.900000000000006
202109,AG,female,7745,sex,345258,42209,2.24,12.23,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.564,56.39999999999999
202110,AG,female,7532,sex,345258,49741,2.18,14.41,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.554,55.400000000000006
202111,AG,female,5758,sex,345258,55499,1.67,16.07,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.545,54.50000000000001
202112,AG,female,8672,sex,345258,64171,2.51,18.59,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.528,52.800000000000004
202113,AG,female,8218,sex,345258,72389,2.38,20.97,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.523,52.300000000000004
202114,AG,female,11106,sex,345258,83495,3.22,24.18,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.532,53.2
202115,AG,female,14247,sex,345258,97742,4.13,28.31,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.566,56.599999999999994
202116,AG,female,15340,sex,345258,113082,4.44,32.75,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.513,51.300000000000004
202117,AG,female,13021,sex,345258,126103,3.77,36.52,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.522,52.2
202118,AG,female,17715,sex,345258,143818,5.13,41.66,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.511,51.1
202119,AG,female,17984,sex,345258,161802,5.21,46.86,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.55,55.00000000000001
202120,AG,female,20050,sex,345258,181852,5.81,52.67,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.52,52
202121,AG,female,20272,sex,345258,202124,5.87,58.54,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.496,49.6
202122,AG,female,24632,sex,345258,226756,7.13,65.68,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.48,48
202123,AG,female,23927,sex,345258,250683,6.93,72.61,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.48,48
202124,AG,female,19883,sex,345258,270566,5.76,78.37,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.47,47
202125,AG,female,17137,sex,345258,287703,4.96,83.33,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.476,47.599999999999994
202126,AG,female,16326,sex,345258,304029,4.73,88.06,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.467,46.7
202127,AG,female,16356,sex,345258,320385,4.74,92.8,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.458,45.800000000000004
202128,AG,female,13161,sex,345258,333546,3.81,96.61,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.447,44.7
202129,AG,female,8879,sex,345258,342425,2.57,99.18,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.465,46.5
202130,AG,female,7050,sex,345258,349475,2.04,101.22,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.479,47.9
202131,AG,female,6253,sex,345258,355728,1.81,103.03,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed,0.488,48.8
