geoRegion,date,pop,sumTotal,per100PersonsTotal,type,version
AG,2021-01-24,694072,37725,5.44,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-01-25,694072,37725,5.44,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-01-26,694072,37725,5.44,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-01-27,694072,40650,5.86,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-01-28,694072,40650,5.86,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-01-29,694072,40650,5.86,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-01-30,694072,40650,5.86,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-01-31,694072,40650,5.86,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-01,694072,40650,5.86,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-02,694072,40650,5.86,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-03,694072,41625,6,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-04,694072,41625,6,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-05,694072,41625,6,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-06,694072,41625,6,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-07,694072,60025,8.65,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-08,694072,60025,8.65,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-09,694072,60025,8.65,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-10,694072,61000,8.79,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-11,694072,61000,8.79,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-12,694072,61000,8.79,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-13,694072,61000,8.79,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-14,694072,61000,8.79,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-15,694072,61000,8.79,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-16,694072,61000,8.79,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-17,694072,67825,9.77,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-18,694072,67825,9.77,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-19,694072,67825,9.77,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-20,694072,67825,9.77,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-21,694072,67825,9.77,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-22,694072,67825,9.77,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-23,694072,67825,9.77,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-24,694072,73675,10.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-25,694072,73675,10.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-26,694072,73675,10.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-27,694072,73675,10.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-02-28,694072,73675,10.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-01,694072,73675,10.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-02,694072,73675,10.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-03,694072,80375,11.58,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-04,694072,80375,11.58,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-05,694072,80375,11.58,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-06,694072,80375,11.58,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-07,694072,87675,12.63,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-08,694072,87675,12.63,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-09,694072,87675,12.63,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-10,694072,87675,12.63,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-11,694072,87675,12.63,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-12,694072,87675,12.63,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-13,694072,87675,12.63,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-14,694072,94250,13.58,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-15,694072,94250,13.58,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-16,694072,94250,13.58,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-17,694072,94250,13.58,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-18,694072,94250,13.58,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-19,694072,94250,13.58,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-20,694072,94250,13.58,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-21,694072,116300,16.76,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-22,694072,116300,16.76,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-23,694072,116300,16.76,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-24,694072,116400,16.77,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-25,694072,116400,16.77,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-26,694072,116400,16.77,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-27,694072,116400,16.77,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-28,694072,122250,17.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-29,694072,122250,17.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-30,694072,122250,17.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-03-31,694072,122250,17.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-01,694072,140175,20.2,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-02,694072,140175,20.2,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-03,694072,140175,20.2,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-04,694072,140175,20.2,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-05,694072,140175,20.2,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-06,694072,140175,20.2,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-07,694072,160175,23.08,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-08,694072,160175,23.08,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-09,694072,160175,23.08,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-10,694072,160175,23.08,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-11,694072,160175,23.08,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-12,694072,160175,23.08,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-13,694072,160175,23.08,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-14,694072,160575,23.14,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-15,694072,160575,23.14,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-16,694072,160575,23.14,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-17,694072,160575,23.14,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-18,694072,185975,26.79,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-19,694072,185975,26.79,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-20,694072,185975,26.79,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-21,694072,206975,29.82,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-22,694072,206975,29.82,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-23,694072,206975,29.82,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-24,694072,206975,29.82,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-25,694072,212975,30.68,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-26,694072,212975,30.68,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-27,694072,212975,30.68,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-28,694072,237950,34.28,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-29,694072,237950,34.28,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-04-30,694072,237950,34.28,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-01,694072,237950,34.28,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-02,694072,237950,34.28,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-03,694072,237950,34.28,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-04,694072,237950,34.28,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-05,694072,280300,40.38,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-06,694072,280300,40.38,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-07,694072,280300,40.38,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-08,694072,280300,40.38,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-09,694072,280300,40.38,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-10,694072,280300,40.38,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-11,694072,280300,40.38,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-12,694072,293125,42.23,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-13,694072,293125,42.23,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-14,694072,293125,42.23,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-15,694072,293125,42.23,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-16,694072,293125,42.23,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-17,694072,293125,42.23,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-18,694072,293125,42.23,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-19,694072,330350,47.6,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-20,694072,330350,47.6,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-21,694072,330350,47.6,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-22,694072,330350,47.6,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-23,694072,330350,47.6,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-24,694072,330350,47.6,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-25,694072,330350,47.6,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-26,694072,377800,54.43,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-27,694072,377800,54.43,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-28,694072,377800,54.43,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-29,694072,377800,54.43,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-30,694072,377800,54.43,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-05-31,694072,377800,54.43,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-01,694072,377800,54.43,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-02,694072,424400,61.15,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-03,694072,424400,61.15,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-04,694072,424400,61.15,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-05,694072,424400,61.15,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-06,694072,425375,61.29,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-07,694072,425375,61.29,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-08,694072,425375,61.29,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-09,694072,472175,68.03,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-10,694072,472175,68.03,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-11,694072,472175,68.03,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-12,694072,472175,68.03,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-13,694072,472175,68.03,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-14,694072,472175,68.03,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-15,694072,472175,68.03,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-16,694072,525375,75.69,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-17,694072,525375,75.69,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-18,694072,525375,75.69,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-19,694072,525375,75.69,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-20,694072,525375,75.69,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-21,694072,525375,75.69,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-22,694072,525375,75.69,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-23,694072,566150,81.57,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-24,694072,566150,81.57,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-25,694072,566150,81.57,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-26,694072,566150,81.57,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-27,694072,566150,81.57,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-28,694072,566150,81.57,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-29,694072,566150,81.57,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-06-30,694072,606000,87.31,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-01,694072,606000,87.31,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-02,694072,606000,87.31,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-03,694072,606000,87.31,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-04,694072,606000,87.31,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-05,694072,606000,87.31,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-06,694072,606000,87.31,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-07,694072,616975,88.89,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-08,694072,616975,88.89,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-09,694072,616975,88.89,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-10,694072,616975,88.89,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-11,694072,616975,88.89,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-12,694072,616975,88.89,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-13,694072,616975,88.89,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-14,694072,631975,91.05,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-15,694072,631975,91.05,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-16,694072,631975,91.05,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-17,694072,631975,91.05,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-18,694072,635875,91.62,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-19,694072,635875,91.62,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-20,694072,635875,91.62,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-21,694072,651875,93.92,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-22,694072,651875,93.92,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-23,694072,651875,93.92,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-24,694072,651875,93.92,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-25,694072,655775,94.48,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-26,694072,655775,94.48,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-27,694072,655775,94.48,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-28,694072,655775,94.48,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-29,694072,655775,94.48,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-30,694072,655775,94.48,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-07-31,694072,655775,94.48,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-01,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-02,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-03,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-04,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-05,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-06,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-07,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-08,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-09,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-10,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-11,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-12,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-13,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-14,694072,659675,95.04,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-15,694072,661625,95.33,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-16,694072,661625,95.33,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-17,694072,661625,95.33,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-18,694072,661625,95.33,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-19,694072,661625,95.33,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-20,694072,661625,95.33,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-21,694072,661625,95.33,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-22,694072,663575,95.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-23,694072,663575,95.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-24,694072,663575,95.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-25,694072,663575,95.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
AG,2021-08-26,694072,663575,95.61,COVID19VaccDosesDelivered,2021-10-29_16-00-00
