date,altersklasse_covid19,vaccine,geoRegion,type,entries,pop,sumTotal,per100Persons,per100PersonsTotal,type_variant,version
202052,0 - 9,johnson_johnson,CHFL,COVID19AtLeastOneDosePersons,0,880587,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,0 - 9,johnson_johnson,CHFL,COVID19FullyVaccPersons,0,880587,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,0 - 9,johnson_johnson,CHFL,COVID19PartiallyVaccPersons,0,880587,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,0 - 9,moderna,CHFL,COVID19AtLeastOneDosePersons,0,880587,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,0 - 9,moderna,CHFL,COVID19FullyVaccPersons,0,880587,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,0 - 9,moderna,CHFL,COVID19PartiallyVaccPersons,0,880587,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,0 - 9,pfizer_biontech,CHFL,COVID19AtLeastOneDosePersons,1,880587,1,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,0 - 9,pfizer_biontech,CHFL,COVID19FullyVaccPersons,0,880587,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,0 - 9,pfizer_biontech,CHFL,COVID19PartiallyVaccPersons,1,880587,1,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,10 - 19,johnson_johnson,CHFL,COVID19AtLeastOneDosePersons,0,853375,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,10 - 19,johnson_johnson,CHFL,COVID19FullyVaccPersons,0,853375,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,10 - 19,johnson_johnson,CHFL,COVID19PartiallyVaccPersons,0,853375,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,10 - 19,moderna,CHFL,COVID19AtLeastOneDosePersons,0,853375,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,10 - 19,moderna,CHFL,COVID19FullyVaccPersons,0,853375,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,10 - 19,moderna,CHFL,COVID19PartiallyVaccPersons,0,853375,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,10 - 19,pfizer_biontech,CHFL,COVID19AtLeastOneDosePersons,11,853375,11,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,10 - 19,pfizer_biontech,CHFL,COVID19FullyVaccPersons,0,853375,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,10 - 19,pfizer_biontech,CHFL,COVID19PartiallyVaccPersons,11,853375,11,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,20 - 29,johnson_johnson,CHFL,COVID19AtLeastOneDosePersons,0,1042617,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,20 - 29,johnson_johnson,CHFL,COVID19FullyVaccPersons,0,1042617,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,20 - 29,johnson_johnson,CHFL,COVID19PartiallyVaccPersons,0,1042617,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,20 - 29,moderna,CHFL,COVID19AtLeastOneDosePersons,0,1042617,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,20 - 29,moderna,CHFL,COVID19FullyVaccPersons,0,1042617,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,20 - 29,moderna,CHFL,COVID19PartiallyVaccPersons,0,1042617,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,20 - 29,pfizer_biontech,CHFL,COVID19AtLeastOneDosePersons,58,1042617,58,0.01,0.01,altersklasse_covid19,2021-11-03_07-53-32
202052,20 - 29,pfizer_biontech,CHFL,COVID19FullyVaccPersons,0,1042617,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,20 - 29,pfizer_biontech,CHFL,COVID19PartiallyVaccPersons,58,1042617,58,0.01,0.01,altersklasse_covid19,2021-11-03_07-53-32
202052,30 - 39,johnson_johnson,CHFL,COVID19AtLeastOneDosePersons,0,1248240,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,30 - 39,johnson_johnson,CHFL,COVID19FullyVaccPersons,0,1248240,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,30 - 39,johnson_johnson,CHFL,COVID19PartiallyVaccPersons,0,1248240,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,30 - 39,moderna,CHFL,COVID19AtLeastOneDosePersons,0,1248240,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,30 - 39,moderna,CHFL,COVID19FullyVaccPersons,0,1248240,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,30 - 39,moderna,CHFL,COVID19PartiallyVaccPersons,0,1248240,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,30 - 39,pfizer_biontech,CHFL,COVID19AtLeastOneDosePersons,70,1248240,70,0.01,0.01,altersklasse_covid19,2021-11-03_07-53-32
202052,30 - 39,pfizer_biontech,CHFL,COVID19FullyVaccPersons,0,1248240,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,30 - 39,pfizer_biontech,CHFL,COVID19PartiallyVaccPersons,70,1248240,70,0.01,0.01,altersklasse_covid19,2021-11-03_07-53-32
202052,40 - 49,johnson_johnson,CHFL,COVID19AtLeastOneDosePersons,0,1206905,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,40 - 49,johnson_johnson,CHFL,COVID19FullyVaccPersons,0,1206905,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,40 - 49,johnson_johnson,CHFL,COVID19PartiallyVaccPersons,0,1206905,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,40 - 49,moderna,CHFL,COVID19AtLeastOneDosePersons,1,1206905,1,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,40 - 49,moderna,CHFL,COVID19FullyVaccPersons,0,1206905,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,40 - 49,moderna,CHFL,COVID19PartiallyVaccPersons,1,1206905,1,0,0,altersklasse_covid19,2021-11-03_07-53-32
202052,40 - 49,pfizer_biontech,CHFL,COVID19AtLeastOneDosePersons,132,1206905,132,0.01,0.01,altersklasse_covid19,2021-11-03_07-53-32
202052,40 - 49,pfizer_biontech,CHFL,COVID19FullyVaccPersons,0,1206905,0,0,0,altersklasse_covid19,2021-11-03_07-53-32
