date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,2,sex,348814,2,0,0,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.25,25
202053,AG,male,56,sex,348814,58,0.02,0.02,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.301,30.099999999999998
202101,AG,male,1187,sex,348814,1245,0.34,0.36,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.475,47.5
202102,AG,male,1532,sex,348814,2777,0.44,0.8,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.45,45
202103,AG,male,2863,sex,348814,5640,0.82,1.62,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.458,45.800000000000004
202104,AG,male,2381,sex,348814,8021,0.68,2.3,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.421,42.1
202105,AG,male,2373,sex,348814,10394,0.68,2.98,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.4,40
202106,AG,male,2015,sex,348814,12409,0.58,3.56,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.399,39.900000000000006
202107,AG,male,2399,sex,348814,14808,0.69,4.25,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.457,45.7
202108,AG,male,3865,sex,348814,18673,1.11,5.35,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.475,47.5
202109,AG,male,3628,sex,348814,22301,1.04,6.39,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.463,46.300000000000004
202110,AG,male,4040,sex,348814,26341,1.16,7.55,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.463,46.300000000000004
202111,AG,male,2445,sex,348814,28786,0.7,8.25,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.464,46.400000000000006
202112,AG,male,3806,sex,348814,32592,1.09,9.34,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.474,47.4
202113,AG,male,4515,sex,348814,37107,1.29,10.64,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.475,47.5
202114,AG,male,5716,sex,348814,42823,1.64,12.28,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.467,46.7
202115,AG,male,8048,sex,348814,50871,2.31,14.58,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.429,42.9
202116,AG,male,10789,sex,348814,61660,3.09,17.68,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.49,49
202117,AG,male,7556,sex,348814,69216,2.17,19.84,COVID19AtLeastOneDosePersons,2021-11-03_08-07-17,detailed,0.48,48
